Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Location,1. What is your home zip code?,2. What brings you to Arthur Ave today?,,,,,,,,,3. If shopping/dining/visiting business - Did you specifically come to Arthur Ave to shop/dine/visit business or are you on your way to/from somewhere else?,4. How often do you visit the Little Italy neighborhood?,5. How did you get to Arthur Ave today?,,"6a. If bus, which bus lines do you use to get to or travel around the Arthur Ave area? (Enter all bus lines separated by commas)","6b. If bus, On a scale of 1-5 where 1 is very dissatisfied and 5 is very satisfied, how would you rate your bus trip today?","6c. If bus, what was the biggest issue with your bus ride today?",,"7a. If personal car, did you experience any difficulty finding parking on/around Arthur Avenue?","7b. If personal car, how long did it take you to find a spot?","7c. If personal car, about how many blocks away from your destination did you park?","7d. If personal car, did you pay to park?","7e. If personal car, how long will you be parked for?","7f. Specific to the Fordham Rd area, do you think a short-term parking zone (such as 30 mins or less) on or adjacent to Fordham Rd would be useful for quick errands or passenger pickup/drop-off?",,"8a. If personal car, dropped off or Taxis/ FHV, would you be more likely to take transit if bus speeds and reliability improved around the Arthur Ave area?","8b. If personal car, what would encourage you to use public transit for this trip?","9. Do you experience any pain points, obstacles or other transportation related challenges traveling in this neighborhood? If yes, please tell us what they are:","10. Would you support a busway along a portion Fordham Rd, between Jerome Ave and Webster Ave, that prioritizes buses and trucks by limiting thru traffic (local access and parking for private vehicles would still be allowed)? Most busways offer transit and freight priority, allowing buses and trucks to travel along the entire corridor. For other vehicles, such as taxis and cars, travel through the busway corridor is restricted, but general traffic are still allowed to enter for local access – meaning cars can enter for loading, picking up, and dropping off customers. Newly added parking spaces may also be included in some portions of the busway where the bus lane currently exists.",*11. How do you identify in terms of gender? (Select all that apply),,,,,,,*12. How do you identify in terms of race/ethnicity? (Select all that apply),,,,,,,,,,*13. What is your age? (Enter 0 if they prefer not to say),Additional Comments:
1.14288E+11,425087348,2023-04-07 12:20:19,2023-04-07 12:25:29,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10570,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,45 minutes,,,,,Yes,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know ,No,"None, I am coming from Upstate Thornwood.",None,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,35,
1.14288E+11,425087348,2023-04-07 12:14:22,2023-04-07 12:24:53,174.197.135.173,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10034,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,B10,2 - Dissatisfied,Other (please specify),Pandemic and crazy people ,Yes,5 minutes or less,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,Anywhere,Yes,Frequent services ,None,5 - Strongly Disagree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,70,Try to make the services better 
1.14288E+11,425087348,2023-04-07 12:18:41,2023-04-07 12:24:05,172.58.235.26,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,,,,,,,,Own business,Came specifically to Arthur Ave to visit businesses,Daily,Bus,20 mins,12,5 - Very satisfied,No issues,,,,,,,Yes,,,,"No, just busy",1 - Strongly Agree,,,,,,Prefer not to say,,,,,,,,,,Prefer not to say,,47,
1.14288E+11,425087348,2023-04-07 12:13:19,2023-04-07 12:20:19,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",11354,Shopping/Dining/Visiting Business,,,,,Social/Recreational/Religious,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Bus,45 minutes ,"BX12, BX9",3 - Neutral,Waited too long for the bus,,,,,,,,,,,None,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,48,
1.14288E+11,425087348,2023-04-07 12:12:55,2023-04-07 12:20:16,172.58.231.79,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,Bx 9 and 12,2 - Dissatisfied,Waited too long for the bus,,,,,,,,,,,Over crowded ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,28,
1.14288E+11,425087348,2023-04-07 12:13:31,2023-04-07 12:17:44,174.216.209.249,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx12,BX19",4 - Satisfied,No issues,,,,,,,,,,,NA,2 - Agree,Male,,,,,,,,,,,,,White,,,,54,
1.14288E+11,425087348,2023-04-07 12:03:50,2023-04-07 12:14:22,174.197.135.173,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",33064,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,No,None,None,5 - Strongly Disagree,,Female,,,,,,,,,,,,White,,,,51,None
1.14288E+11,425087348,2023-04-07 12:04:16,2023-04-07 12:13:18,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10306,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,60 minutes,,,,,Yes,5 minutes or less,3-5 blocks,No,More than 2 hours,No,,No,None because coming from Staten Island. It’s too far.,None,3 - Neutral,,Female,,,,,,,,,,,,White,,,,67,The participant comes from Staten Island. She doesn’t know if the Busway would be good for the Community and she doesn’t want to give an opinion.
1.14288E+11,425087348,2023-04-07 11:50:33,2023-04-07 12:07:11,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,"Bx36, Bx41",4 - Satisfied,Other (please specify),"Cost issues, make it free. ",,,,,,,,,,Participant has the half price card for senior citizens. It's good. ,4 - Disagree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,73,"184 between Valentine and Grand Concourse, a two way street and the street is narrow.     Another problem, on 188 and Grand Concourse, the signal light, is confusing for this side when the light changes, on the side on Grand Concourse because the car signal is green and is contradicting for pedestrians. "
1.14288E+11,425087348,2023-04-07 11:59:52,2023-04-07 12:04:15,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",7758,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,90 minutes,,,,,Yes,11 - 15 minutes,3-5 blocks,No,1 hour 1 minute - 2 hours,No,,No,None it would take me too long if I would get public Transportation. Coming from New Jersey,None,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,65,
1.14288E+11,425087348,2023-04-07 11:41:45,2023-04-07 12:03:49,174.197.135.173,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10027,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,20,,,,,No,5 minutes or less,,,,No,,Yes,"Can't use transit due to my job, I bring equipment around the city that I can't carry on transit.",Passenger cars should be banned.,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,31,"Ban all the passenger cars, get rid of free on-street parking. Thank you!"
1.14288E+11,425087348,2023-04-07 11:51:37,2023-04-07 11:59:52,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10471,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,25 minutes,,,,,Yes,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,The space is a challenge,Yes,Speed not reliability from buses. Car are more speedy,Traffic,2 - Agree,Male,,,,,,,,,,,,,White,,,,29,
1.14288E+11,425087348,2023-04-07 11:42:26,2023-04-07 11:50:33,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10474,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx19,2 - Dissatisfied,Other (please specify),Courtesy,,,,,,,,,,No issues,1 - Strongly Agree,,Female,,,,,,,,,,,,White,"Other race, ethnicity or origin",,,49,"The Bx19 does not kneel to passengers, stops at the red light or the stop sign and does not open the door to passengers even if you're running to catch the bus. Courtesy of the bus drivers they can open the doors. Bx19 is ehh. Bx17 is good and very courteous. Bx19 flies fast to hunts pt in 5 minutes this is awesome ."
1.14288E+11,425087348,2023-04-07 11:41:02,2023-04-07 11:45:43,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10463,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,15 minutes,,,,,Yes,5 minutes or less,3-5 blocks,No,More than 2 hours,Yes,Away for the restaurants ,Yes,If it was faster. It takes 45 minutes to one hour to take the bus. From Broadway Riverdale,None,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,22,
1.14288E+11,425087348,2023-04-07 11:38:51,2023-04-07 11:42:26,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10457,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx17, Bx19",5 - Very satisfied,Other (please specify),"Timing is off on the app, GPS is off ",No,,,,,,,,,Safety and security concerns ,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,32,It would be helpful if they made the bus lane. 
1.14288E+11,425087348,2023-04-07 11:36:45,2023-04-07 11:41:44,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10465,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,,,,,,Yes,More than 15 minutes,More than 5 blocks,No,More than 2 hours,No,,No,Nothing,No,5 - Strongly Disagree,,Female,,,,,,,,,,,,White,,,,69,
1.14288E+11,425087348,2023-04-07 11:37:43,2023-04-07 11:41:01,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10035,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,20,,,,,,,,,,No,,,,No,3 - Neutral,Male,,,,,,,,,,,,,,"Other race, ethnicity or origin",,,28,
1.14288E+11,425087348,2023-04-07 11:32:29,2023-04-07 11:40:41,172.58.231.164,,,,,,10458,,Live Here,,,,,,,,Stopping by (i.e. on way home from work),Daily,Walk,5 minutes ,,3 - Neutral,Other (please specify),It get too crowded and they close the too fast ,No,,,,,,,,I just the bus transit because I don’t have no choice of it would for me I wouldn’t be traveling in the bus .,No ,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,52,My husband got hit by the bus long time ago and notbody did nothing this place need to be more secure .
1.14288E+11,425087348,2023-04-07 11:32:21,2023-04-07 11:37:43,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10528,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,30 minutes,,,,,Yes,6 - 10 minutes,3-5 blocks,No,1 hour 1 minute - 2 hours,Yes,,No,None ,None,2 - Agree,,Female,,,,,,,,,,,,White,,,,65,Participant coming from Harrison New York
1.14288E+11,425087348,2023-04-07 11:30:02,2023-04-07 11:36:45,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",7930,,,,,School,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Walk,,,,,,Yes,11 - 15 minutes,3-5 blocks,No,31 minutes - 1 hour,Yes,Arthur ave,Yes,Safety,None,2 - Agree,Male,,,,,,,,,,,,,White,,,,43,None
1.14288E+11,425087348,2023-04-07 11:28:46,2023-04-07 11:32:20,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",6473,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Taxi/FHV,1 Hour and 15 minutes,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,,No,Never ,None,2 - Agree,Male,,,,,,,,,,,,,White,,,,66,
1.14288E+11,425087348,2023-04-07 11:20:02,2023-04-07 11:30:02,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10549,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,,,Yes,11 - 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,,No,Too far but wouldn't use,Traffic,2 - Agree,Male,,,,,,,,,,,,,White,,,,35,None
1.14288E+11,425087348,2023-04-07 11:22:18,2023-04-07 11:28:14,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10731,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,50 minutes,,,,,No,6 - 10 minutes,More than 5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,,,No,No because we come from Suffolk county,None,3 - Neutral,,Female,,,,,,,,,,,,White,,,,50,Participant comes from Suffolk County
1.14288E+11,425087348,2023-04-07 11:08:50,2023-04-07 11:22:18,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10473,Shopping/Dining/Visiting Business,,,Work,,,,,The participant works for DSNY and drives a car from the City,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,5 minutes,,,,,No,,,,,Yes,One block after Webster Ave,,,None,4 - Disagree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,30,"“The busway will create more traffic than the one we already have” respondent works for Sanitation Dept and drives a DSNY car , works in the area."
1.14288E+11,425087348,2023-04-07 11:11:48,2023-04-07 11:20:02,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,No,5 minutes or less,Less than 1 block,No,1 hour 1 minute - 2 hours,Yes,,No,Nothing,None,4 - Disagree,,Female,,,,,,,,,,,,White,,,,65,None
1.14288E+11,425087348,2023-04-06 15:19:26,2023-04-07 11:11:48,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10021,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Subway,,Bx19,5 - Very satisfied,No issues,,,,,,,Yes,,Yes,,None,1 - Strongly Agree,,Female,,,,,,,Asian,,,,,,,,,30,None
1.14288E+11,425087348,2023-04-07 11:04:53,2023-04-07 11:08:50,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10461,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,15,,,,,Yes,11 - 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,,No,None,Traffic ,4 - Disagree,Male,,,,,,,,,,,,,White,,,,52,To expensive and no parking
1.14288E+11,425087348,2023-04-06 16:04:42,2023-04-06 16:11:28,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,45 minutes,"BX12,BX15, BX17",3 - Neutral,Bus was slow,,,,,,,Yes,I don’t know where it could be located,,,"Buses take too much time in traffic, when I go to the Montefiore and Lincoln Hospitals",2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,43,
1.14288E+11,425087348,2023-04-06 15:55:41,2023-04-06 16:04:45,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,Work,School,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx12, Bx9",4 - Satisfied,Other (please specify),Late and crowded,,,,,,,,,,Far walk to get to the nearest subway station   ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,21,
1.14288E+11,425087348,2023-04-06 15:52:35,2023-04-06 15:55:41,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx9,5 - Very satisfied,No issues,,Yes,More than 15 minutes,3-5 blocks,No,More than 2 hours,Yes,Very hard at University to find parking,No,Easier to drive with kids. ,No issues  Parking is sometimes hard  Buses I can do by myself without kids,1 - Strongly Agree,,Female,,,,,,,,Black or African American,Hispanic or Latinx,,,,,,,33,Everything good so far 
1.14288E+11,425087348,2023-04-06 15:14:35,2023-04-06 15:27:42,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10461,,,,Work,,,,,,Stopping by (i.e. on way home from work),Daily,Personal Car,20 minutes ,,,,,Yes,5 minutes or less,Less than 1 block,No,More than 2 hours,Yes,On Fordham Rd,No,No other option,Double parking ,5 - Strongly Disagree,Male,,,,,,,,,,,,,White,,,,60,"The co-owner of Catanias Pizzeria responded to the survey and they are in disagreement in installing the Bus lane because it takes away parking spaces from customers. He also drives to work and said it’s difficult to find parking. Usually takes around 20 minutes driving to Arthur, but today because there is no school it only spent 8 minutes."
1.14288E+11,425087348,2023-04-06 14:59:40,2023-04-06 15:19:26,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10461,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",31 minutes - 1 hour,No,,No,Direct from riverdale but is not from around Arthur ave,None,2 - Agree,Male,,,,,,,,,,,,,White,,,,70,None
1.14288E+11,425087348,2023-04-06 14:55:35,2023-04-06 14:59:39,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Weekly,Walk,,,,,,,,,,,No,,,,Crazy people ,5 - Strongly Disagree,,Female,,,,,,,,,,,,,,Prefer not to say,,50,None
1.14288E+11,425087348,2023-04-06 14:47:32,2023-04-06 14:55:47,174.216.242.188,,,,,,10458,,,,,,,,,Visiting mother here,Came specifically to Arthur Ave to visit businesses,Daily,Metro North,7 minutes,BX12,1 - Very dissatisfied,Bus was slow,,,,,,,Yes,,,,"Bus takes too long, double-parked cars on Fordham ",1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,50,The respondent lives 207th Street 
1.14288E+11,425087348,2023-04-06 14:48:35,2023-04-06 14:55:35,174.197.135.173,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10457,,,,,,Social/Recreational/Religious,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Weekly,Walk,,Bx15,2 - Dissatisfied,Multiple buses showed up at once,,No,,,,,Yes,Close to 3rd ave,,,None,3 - Neutral,Male,,,,,,,,,,Hispanic or Latinx,,,,"Other race, ethnicity or origin",,,59,None
1.14288E+11,425087348,2023-04-06 13:42:32,2023-04-06 14:47:32,174.216.242.188,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10462,Shopping/Dining/Visiting Business,,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,30 minutes ,BX12,2 - Dissatisfied,Waited too long for the bus,,,,,,,Yes,I don’t know because this area there is a lot of parking meters,,,Waiting for the bus too long,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,32,
1.14288E+11,425087348,2023-04-06 14:21:18,2023-04-06 14:44:16,174.216.214.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,,"Bx12, Bx9",4 - Satisfied,,,,,,,,,,,,NA,3 - Neutral,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,34,
1.14288E+11,425087348,2023-04-06 12:20:05,2023-04-06 14:21:18,174.216.214.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10455,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,No issues,,Yes,5 minutes or less,Less than 1 block,No,11 - 15 minutes,Yes,,No,NA,Congestion ,2 - Agree,,Female,,,,,,,,Black or African American,,,,,,,,0,This participant double parked on Arthur Ave to make a quick shop.
1.14288E+11,425087348,2023-04-06 14:13:46,2023-04-06 14:18:58,174.204.130.96,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Dropped Off (Family/Friend),,,,,,,,,,,,,Yes,If the bus was more reliable. ,Weekend it become crowded with tourists on Arthur Ave.,2 - Agree,,Female,,,,,,,,,,,,White,,,,53,
1.14288E+11,425087348,2023-04-06 13:42:36,2023-04-06 14:01:43,172.56.161.182,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Bike,,,,,,,,,,,,,,,Came biking and the roads need to be fixed.,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,N/A
1.14288E+11,425087348,2023-04-06 13:57:00,2023-04-06 13:59:52,172.58.225.184,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10456,,Live Here,,,,,,,,,Daily,Walk,10,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,13,
1.14288E+11,425087348,2023-04-06 13:49:17,2023-04-06 13:57:00,172.58.225.26,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,,Daily,Walk,10,,,,,,,,,,,,,,Heavy traffic congestion. ,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,58,
1.14288E+11,425087348,2023-04-06 13:49:48,2023-04-06 13:52:41,174.216.241.53,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Bike,,,,,,,,,,,,,,,The roads are in terrible condition but in our country Belgium the roads are also terrible for cycling. ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,We've never been here before but the drivers sound very aggressive and their is a lot of honking. 
1.14288E+11,425087348,2023-04-06 13:42:58,2023-04-06 13:52:38,174.204.130.96,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Bike,,,,,,,,,,,,,Yes,More reliable bus would make me use the buses.,No problem,3 - Neutral,Male,,,,,,,,,,,,,White,,,,16,
1.14288E+11,425087348,2023-04-06 13:46:11,2023-04-06 13:49:17,172.58.224.51,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,5,,,,,,,,,,,,,,I wish the bus routes ran along Arthur Ave ,1 - Strongly Agree,Male,,,,,,,,,Black or African American,,,,,,,,35,
1.14288E+11,425087348,2023-04-06 13:37:21,2023-04-06 13:46:10,172.58.225.235,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,,Daily,Walk,5,,,,,,,,,,,,,,Buses are not reliable ,1 - Strongly Agree,,Female,,,,,,,Asian,,,,,,,,,40,
1.14288E+11,425087348,2023-04-06 13:17:30,2023-04-06 13:42:58,174.204.130.96,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10044,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Access-A-Ride,,,,,,,,,,,,,Yes,More reliable buses in the area.,No problems,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,0,Like the area. 
1.14288E+11,425087348,2023-04-06 13:38:28,2023-04-06 13:42:36,172.56.161.170,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10044,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Access-A-Ride,30 minutes ,N/A,,Other (please specify),N/A,,,,,,,,Yes,,N/A,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,75,N/A
1.14288E+11,425087348,2023-04-06 13:35:42,2023-04-06 13:37:21,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:34:55,2023-04-06 13:35:42,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers while driving ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:34:18,2023-04-06 13:35:29,172.56.160.140,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,,,,,,,,,,,,,,,Aggressive drivers while biking,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
1.14288E+11,425087348,2023-04-06 13:31:07,2023-04-06 13:35:09,172.56.161.170,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",11215,Shopping/Dining/Visiting Business,,Medical,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Subway,1 hour and 45 minutes ,BX40,4 - Satisfied,,,,,,,,,,,,N/A,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,65,N/A
1.14288E+11,425087348,2023-04-06 13:33:10,2023-04-06 13:34:55,172.58.224.72,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",0,Shopping/Dining/Visiting Business,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),This is my first time visiting the neighborhood,Bike,120,,,,,,,,,,,,,,Aggressive drivers while biking ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,18,
